Year,S&P 500,Nasdaq Composite,NYSE Composite
1986,14.62,7.36,13.97
1987,2.03,-5.25,-0.25
1988,12.4,15.4,13.04
1989,27.25,19.24,24.82
1990,-6.56,-17.81,-7.46
1991,26.31,56.86,27.12
1992,4.46,15.45,4.69
1993,7.06,14.75,7.86
1994,-1.54,-3.2,-3.14
1995,34.11,39.92,31.31
1996,20.26,22.71,19.06
1997,31.01,21.64,30.31
1998,26.67,39.63,16.55
1999,19.53,85.59,9.15
2000,-10.14,-39.29,1.01
2001,-13.04,-21.05,-10.21
2002,-23.37,-31.53,-19.83
2003,26.38,50.01,29.28
2004,8.99,8.59,12.16
2005,3.0,1.37,6.95
2006,13.62,9.52,17.86
2007,3.53,9.81,6.58
2008,-38.49,-40.54,-40.89
2009,23.45,43.89,24.8
2010,12.78,16.91,10.84
2011,-0.0,-1.8,-6.11
2012,13.41,15.91,12.93
2013,29.6,38.32,23.18
2014,11.39,13.4,4.22
2015,-0.73,5.73,-6.42
2016,9.54,7.5,9.01
2017,19.42,28.24,15.84
2018,-6.24,-3.88,-11.2
2019,28.88,35.23,22.32
2020,16.26,43.64,4.4
2021,26.89,21.39,18.17
2022,-19.44,-33.1,-11.53
2023,24.23,43.42,10.99
2024,23.31,28.64,13.32
2025,16.39,20.36,15.22
2026,8.94,9.8,8.24
